filename,ast_similarity,codebleu,pass_rate,passk_status
WAYS_TO_WRITE_N_AS_SUM_OF_TWO_OR_MORE_POSITIVE_INTEGERS,0.1932,0.6606,1.0,full_pass
CHECK_LARGE_NUMBER_DIVISIBLE_4_NOT,0.2791,0.7853,1.0,full_pass
EFFICIENT_SEARCH_IN_AN_ARRAY_WHERE_DIFFERENCE_BETWEEN_ADJACENT_IS_1,0.076,0.6629,1.0,full_pass
SORT_ARRAY_TWO_HALVES_SORTED,0.48,0.6157,0.0,compile_error
FIND_POSITION_GIVEN_NUMBER_AMONG_NUMBERS_MADE_4_7,0.0528,0.7174,1.0,full_pass
NON_REPEATING_ELEMENT_1,0.062,0.7202,1.0,full_pass
SIZE_SUBARRAY_MAXIMUM_SUM,0.5247,0.6506,0.0,compile_error
CASSINIS_IDENTITY,0.17,0.702,0.0,compile_error
COUNT_PALINDROMIC_SUBSEQUENCE_GIVEN_STRING,0.0,0.0,0.0,empty
PERMUTE_TWO_ARRAYS_SUM_EVERY_PAIR_GREATER_EQUAL_K,0.0,0.0,0.0,empty
ADD_1_TO_A_GIVEN_NUMBER,0.2614,0.754,1.0,full_pass
CHECK_ARRAY_MAJORITY_ELEMENT,0.0691,0.7723,0.0,compile_error
SUM_PAIRWISE_PRODUCTS,0.0333,0.758,0.0,compile_error
MINIMUM_SUM_TWO_NUMBERS_FORMED_DIGITS_ARRAY,0.0462,0.6391,1.0,full_pass
MINIMUM_XOR_VALUE_PAIR,0.0512,0.8372,1.0,full_pass
MINIMUM_SUM_SUBSEQUENCE_LEAST_ONE_EVERY_FOUR_CONSECUTIVE_ELEMENTS_PICKED,0.0447,0.3466,0.0,compile_error
COUNT_PALINDROME_SUB_STRINGS_STRING,0.0425,0.5294,1.0,full_pass
COUNT_ROTATIONS_DIVISIBLE_4,0.1754,0.4357,1.0,full_pass
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1,0.0512,0.8103,1.0,full_pass
DIVISIBILITY_BY_7,0.2414,0.7403,1.0,full_pass
CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER,0.0409,0.7231,1.0,full_pass
SQUARE_PYRAMIDAL_NUMBER_SUM_SQUARES,0.0415,0.7826,1.0,full_pass
FIND_THREE_ELEMENT_FROM_DIFFERENT_THREE_ARRAYS_SUCH_THAT_THAT_A_B_C_K_1,0.019,0.509,1.0,full_pass
SEQUENCES_GIVEN_LENGTH_EVERY_ELEMENT_EQUAL_TWICE_PREVIOUS_1,0.0693,0.5353,1.0,full_pass
MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS,0.0501,0.5882,1.0,full_pass
CHECK_WHETHER_GIVEN_DEGREES_VERTICES_REPRESENT_GRAPH_TREE,0.5049,0.7848,1.0,full_pass
FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X,0.0,0.0,0.0,empty
SMALLEST_OF_THREE_INTEGERS_WITHOUT_COMPARISON_OPERATORS_1,0.2389,0.6759,1.0,full_pass
FIND_EXPRESSION_DUPLICATE_PARENTHESIS_NOT,0.1361,0.5959,1.0,full_pass
SEARCH_AN_ELEMENT_IN_AN_ARRAY_WHERE_DIFFERENCE_BETWEEN_ADJACENT_ELEMENTS_IS_1,0.0479,0.6836,1.0,full_pass
NTH_NON_FIBONACCI_NUMBER,0.0436,0.7848,0.0,compile_error
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,0.2195,0.8065,0.0,compile_error
CHECK_GIVEN_CIRCLE_LIES_COMPLETELY_INSIDE_RING_FORMED_TWO_CONCENTRIC_CIRCLES,0.1631,0.6504,1.0,full_pass
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW,0.0336,0.6715,1.0,full_pass
MULTIPLY_AN_INTEGER_WITH_3_5,0.1887,0.7391,0.0,compile_error
COUNT_WORDS_APPEAR_EXACTLY_TWO_TIMES_ARRAY_WORDS,0.1049,0.7911,1.0,full_pass
SWAP_BITS_IN_A_GIVEN_NUMBER,0.1214,0.555,0.0,compile_error
TEMPLE_OFFERINGS,0.0452,0.5,1.0,full_pass
COUNT_EVEN_LENGTH_BINARY_SEQUENCES_WITH_SAME_SUM_OF_FIRST_AND_SECOND_HALF_BITS_1,0.2346,0.8014,1.0,full_pass
TRIANGULAR_MATCHSTICK_NUMBER,0.0253,0.6986,0.0,compile_error
CHECK_IF_A_GIVEN_ARRAY_CAN_REPRESENT_PREORDER_TRAVERSAL_OF_BINARY_SEARCH_TREE,0.0463,0.6455,1.0,full_pass
CHANGE_BITS_CAN_MADE_ONE_FLIP,0.2113,0.7266,0.0,compile_error
